==================================================
POSTING MIN: 4 Bytes
POSTING MAX: 20188 Bytes
POSTING AVG: 890 Bytes
CANT. FILES: 527
SIZE FILES:  469036 Bytes
OVERHEAD:    785708 Bytes
==================================================
ID DOC|OVERHEAD
285   |0.1439
286   |0.1088
287   |0.3352
288   |0.1739
289   |0.2558
290   |0.1711
291   |0.3209
292   |0.1647
293   |0.2320
294   |0.1722
295   |0.2697
296   |0.1154
297   |0.2217
298   |0.1289
299   |0.1168
300   |0.2670
301   |0.3463
302   |0.1142
303   |0.2117
304   |0.2289
305   |0.2102
306   |0.1962
307   |0.1879
308   |0.1851
309   |0.1967
310   |0.1980
311   |0.3278
312   |0.2891
313   |0.2118
314   |0.1607
315   |0.2773
316   |0.1648
317   |0.4930
318   |0.1230
319   |0.2909
320   |0.3153
321   |0.1720
322   |0.1494
323   |0.2983
324   |0.1871
325   |0.2129
326   |0.1401
327   |0.1551
328   |0.1707
329   |0.5000
330   |0.2613
331   |0.4975
332   |0.2470
333   |0.2640
334   |0.2471
335   |0.1066
336   |0.3222
337   |0.2278
338   |0.1628
339   |0.3711
340   |0.2286
341   |0.2089
342   |0.1251
343   |0.1130
344   |0.1033
345   |0.0646
346   |0.2243
347   |0.3293
348   |0.2152
349   |0.4319
350   |0.1979
351   |0.3505
352   |0.1993
353   |0.1667
354   |0.1446
355   |0.4703
356   |0.2492
357   |0.0801
358   |0.2371
359   |0.0566
360   |0.0814
361   |0.2226
362   |0.0974
363   |0.1786
364   |0.2349
365   |0.2807
366   |0.0620
367   |0.1752
368   |0.1135
369   |0.0626
370   |0.1436
371   |0.1511
372   |0.2478
373   |0.2088
374   |0.1048
375   |0.1813
376   |0.1318
377   |0.0774
378   |0.3164
379   |0.0330
380   |0.2578
381   |0.0483
382   |0.2652
383   |0.2579
384   |0.2728
385   |0.1124
386   |0.2246
387   |0.0689
388   |0.2372
389   |0.2269
390   |0.3137
391   |0.2451
392   |0.4941
393   |0.1854
394   |0.1887
395   |0.1392
396   |0.2415
397   |0.2553
398   |0.3104
399   |0.0998
400   |0.1695
401   |0.1877
402   |0.1677
403   |0.2587
404   |0.2270
405   |0.2488
406   |0.3018
407   |0.2933
408   |0.1523
409   |0.2281
410   |0.1457
411   |0.2537
412   |0.1374
413   |0.0679
414   |0.1045
415   |0.1455
416   |0.3128
417   |0.2225
418   |0.1453
